value,high,52wklow,volume,low,52wkhigh,peratio,aveprice,symbol
473224.00,8.15,7.80,"59,200",7.80,10.86,-10.81,7.99,2GO
10340690.00,11.24,6.90,"965,200",10.44,11.48,12.36,10.71,HOUSE
225460.00,0.92,0.77,"255,000",0.86,1.18,7.50,0.88,BRN
575133.00,7.25,6.00,"81,300",6.96,8.50,55.77,7.07,ANS
16483654.00,15.40,10.70,"1,122,700",14.50,16.48,-0.90,14.68,ABS
458752.00,15.38,0.00,"32,000",14.10,15.50,0.00,14.336,ABSP
744010492.00,11.70,3.42,"65,574,900",11.10,13.00,32.34,11.35,ACEN
4602972.00,17.78,6.11,"264,000",16.80,26.95,-372.34,17.4355,ACEX
862450.00,0.26,0.24,"3,430,000",0.25,0.59,-319.693,0.251,APC
35127660.00,42.00,25.50,"854,000",40.00,42.00,33.98,41.13,AREIT
127450.00,0.52,0.40,"260,000",0.47,1.09,724.638,0.49,ATN
12750810.00,1.12,0.46,"11,546,000",1.07,1.88,-38.47,1.10,ABA
29043400.00,48.60,34.00,"601,400",47.35,54.20,17.68,48.29,AEV
77944195.00,31.75,20.50,"2,488,600",30.60,35.10,18.54,31.32,AP
0.00,0.00,0.0008,0,0.00,0.013,-164.2857,0.00,AR
9060.00,1.53,1.11,"6,000",1.50,2.98,0.79,1.51,ACE
1172740.00,4.94,4.60,"242,000",4.73,8.85,-123.25,4.85,ANI
16806362.00,10.94,6.00,"1,579,300",10.42,11.08,40.38,10.64,HOME
48191544.00,10.66,7.09,"4,582,800",10.36,11.50,11.42,10.52,AGI
144230.00,0.62,0.60,"234,000",0.61,0.77,-3.00,0.62,FOOD
506930.00,1.13,1.10,"458,000",1.10,1.49,21.57,1.11,ACR
268664.00,17.26,10.78,"15,600",17.22,32.80,78.27,17.22,APVI
712.00,7.12,6.90,100,7.12,8.99,22.97,7.12,ALHI
989740.00,0.95,0.57,"1,062,000",0.92,1.65,-15.33,0.93,APO
856140.00,1.50,1.39,"575,000",1.48,2.24,5.48,1.49,APX
9677670.00,0.102,0.05,"96,660,000",0.099,0.475,"-2,000.00",0.10,APL
456030.00,1.06,0.95,"434,000",1.05,1.60,-138.16,1.05,ARA
9900.00,0.66,0.56,"15,000",0.66,0.80,5.18,0.66,ALCO
0.00,0.00,0.00,0,0.00,0.00,-805.00,0.00,AAA
699060.00,46.40,41.45,"15,300",45.00,48.00,7.34,45.69,AUB
25878.00,5.78,5.20,"4,900",5.26,10.98,-657.50,5.28,ABG
8700.00,14.50,13.00,600,14.50,16.78,9.80,14.50,ATI
10116332.00,6.70,3.95,"1,549,600",6.35,8.85,193.35,6.53,AT
728919.00,6.99,5.10,"107,400",6.65,17.20,"-1,651.22",6.79,AB
788800.00,2.81,2.52,"284,000",2.75,3.87,21.62,2.78,AXLM
509188635.00,874.00,690.50,"590,850",850.50,874.00,33.91,861.79,AC
1128846085.00,37.05,29.40,"30,775,900",36.20,42.10,62.80,36.68,ALI
24435419.00,5.82,2.55,"4,290,000",5.60,6.11,51.64,5.70,ALLHC
0.00,0.00,0.00,0,0.00,0.00,26.33,0.00,BLFI
299607158.00,132.00,87.65,"2,288,280",128.50,132.00,20.72,130.93,BDO
0.00,0.00,901.00,0,0.00,"1,351.00","-1,111.76",0.00,BH
369977782.50,85.45,66.30,"4,349,600",85.00,92.00,17.93,85.06,BPI
2947850.00,0.57,0.173,"5,220,000",0.56,2.15,-24.78,0.56,BSC
1183880.00,1.38,1.30,"869,000",1.34,1.78,13.02,1.36,BEL
236746.00,5.31,2.26,"45,500",5.15,5.88,8.56,5.20,BC
949245.00,5.59,3.03,"175,400",5.40,7.26,450.00,5.41,BCOR
41809621.00,6.57,5.29,"6,511,400",6.32,8.95,-8.34,6.42,BLOOM
0.00,0.00,58.00,0,0.00,89.00,18.01,0.00,BMM
0.00,0.00,0.026,0,0.00,0.155,-19.091,0.00,BHI
4550.00,0.91,0.74,"5,000",0.91,2.37,22.75,0.91,BKR
